ts_utc,datetime_utc,currency,impact,event
1705411800,2024-01-16 13:30,CAD,high,BoC Consumer Price Index Core (YoY)
1705411800,2024-01-16 13:30,CAD,medium,Consumer Price Index (MoM)
1705411800,2024-01-16 13:30,CAD,high,Consumer Price Index (YoY)
1705411800,2024-01-16 13:30,USD,medium,NY Empire State Manufacturing Index
1705420800,2024-01-16 16:00,USD,medium,Fed's Waller speech
1705446000,2024-01-16 23:00,CHF,medium,World Economic Forum - Davos
1705474800,2024-01-17 07:00,GBP,high,Consumer Price Index (MoM)
1705474800,2024-01-17 07:00,GBP,high,Consumer Price Index (YoY)
1705474800,2024-01-17 07:00,GBP,high,Core Consumer Price Index (YoY)
1705474800,2024-01-17 07:00,GBP,medium,PPI Core Output (MoM) n.s.a
1705474800,2024-01-17 07:00,GBP,medium,PPI Core Output (YoY) n.s.a
1705474800,2024-01-17 07:00,GBP,medium,Producer Price Index - Output (MoM) n.s.a
1705474800,2024-01-17 07:00,GBP,medium,Producer Price Index - Output (YoY) n.s.a
1705474800,2024-01-17 07:00,GBP,medium,Retail Price Index (MoM)
1705474800,2024-01-17 07:00,GBP,medium,Retail Price Index (YoY)
1705480200,2024-01-17 08:30,EUR,medium,ECB's Cipollone speech
1705485600,2024-01-17 10:00,EUR,medium,Core Harmonized Index of Consumer Prices (MoM)
1705485600,2024-01-17 10:00,EUR,medium,Core Harmonized Index of Consumer Prices (YoY)
1705485600,2024-01-17 10:00,EUR,medium,Harmonized Index of Consumer Prices (MoM)
1705498200,2024-01-17 13:30,USD,high,Retail Sales (MoM)
1705498200,2024-01-17 13:30,USD,high,Retail Sales Control Group
1705498200,2024-01-17 13:30,USD,medium,Retail Sales ex Autos (MoM)
1705500000,2024-01-17 14:00,USD,medium,Fed's Barr speech
1705500000,2024-01-17 14:00,USD,medium,Fed's Bowman speech
1705500900,2024-01-17 14:15,USD,medium,Industrial Production (MoM)
1705504500,2024-01-17 15:15,EUR,high,ECB's President Lagarde speech
1705516200,2024-01-17 18:30,EUR,medium,ECB's Nagel speech
1705518000,2024-01-17 19:00,USD,medium,Fed's Beige Book
1705521600,2024-01-17 20:00,USD,medium,Fed's Williams speech
1705532400,2024-01-17 23:00,CHF,medium,World Economic Forum - Davos
1705536000,2024-01-18 00:00,AUD,medium,Consumer Inflation Expectations
1705537800,2024-01-18 00:30,AUD,high,Employment Change s.a.
1705537800,2024-01-18 00:30,AUD,medium,Full-Time Employment
1705537800,2024-01-18 00:30,AUD,medium,Participation Rate
1705537800,2024-01-18 00:30,AUD,medium,Part-Time Employment
1705537800,2024-01-18 00:30,AUD,high,Unemployment Rate s.a.
1705573800,2024-01-18 10:30,CHF,high,SNB's Chairman Jordan speech
1705581000,2024-01-18 12:30,EUR,medium,ECB Monetary Policy Meeting Accounts
1705581000,2024-01-18 12:30,USD,medium,Fed's Bostic speech
1705584600,2024-01-18 13:30,USD,medium,Building Permits (MoM)
1705584600,2024-01-18 13:30,USD,medium,Housing Starts (MoM)
1705584600,2024-01-18 13:30,USD,medium,Initial Jobless Claims
1705584600,2024-01-18 13:30,USD,medium,Philadelphia Fed Manufacturing Survey
1705590900,2024-01-18 15:15,EUR,high,ECB's President Lagarde speech
1705597500,2024-01-18 17:05,USD,medium,Fed's Bostic speech
1705613400,2024-01-18 21:30,NZD,medium,Business NZ PMI
1705618800,2024-01-18 23:00,CHF,medium,World Economic Forum - Davos
1705620600,2024-01-18 23:30,JPY,medium,National Consumer Price Index (YoY)
1705620600,2024-01-18 23:30,JPY,medium,"National CPI ex Food, Energy (YoY)"
1705620600,2024-01-18 23:30,JPY,medium,National CPI ex Fresh Food (YoY)
1705647600,2024-01-19 07:00,EUR,medium,Producer Price Index (MoM)
1705647600,2024-01-19 07:00,EUR,medium,Producer Price Index (YoY)
1705647600,2024-01-19 07:00,GBP,high,Retail Sales (MoM)
1705647600,2024-01-19 07:00,GBP,medium,Retail Sales (YoY)
1705647600,2024-01-19 07:00,GBP,medium,Retail Sales ex-Fuel (MoM)
1705647600,2024-01-19 07:00,GBP,medium,Retail Sales ex-Fuel (YoY)
